provider_CCN,org_name,street_address,city,state_FIPS,zip_code,RUCA,RUCA_desc,DRG_code,DRG_desc,total_discharges,avg_submitted_covered_charges,avg_total_payment_amnt,avg_medicare_payment_amnt,NPI,last_name,first_name,provider_type,state_abvP
60024.0,University Of Colorado Hospital Authority,12605 E 16th Ave,Aurora,8.0,80045.0,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1.0,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,20,"$1,032,386.50","$213,169.45","$202,130.45",1003000480,Rothchild,Kevin,General Surgery,CO
60024.0,University Of Colorado Hospital Authority,12605 E 16th Ave,Aurora,8.0,80045.0,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1.0,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,20,"$1,032,386.50","$213,169.45","$202,130.45",1003000480,Rothchild,Kevin,General Surgery,CO
60024.0,University Of Colorado Hospital Authority,12605 E 16th Ave,Aurora,8.0,80045.0,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1.0,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,20,"$1,032,386.50","$213,169.45","$202,130.45",1003000480,Rothchild,Kevin,General Surgery,CO
60024.0,University Of Colorado Hospital Authority,12605 E 16th Ave,Aurora,8.0,80045.0,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3.0,"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",55,"$1,295,619.27","$200,194.76","$185,340.09",1003000480,Rothchild,Kevin,General Surgery,CO
60024.0,University Of Colorado Hospital Authority,12605 E 16th Ave,Aurora,8.0,80045.0,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3.0,"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",55,"$1,295,619.27","$200,194.76","$185,340.09",1003000480,Rothchild,Kevin,General Surgery,CO
60024.0,University Of Colorado Hospital Authority,12605 E 16th Ave,Aurora,8.0,80045.0,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3.0,"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",55,"$1,295,619.27","$200,194.76","$185,340.09",1003000480,Rothchild,Kevin,General Surgery,CO
60024.0,University Of Colorado Hospital Authority,12605 E 16th Ave,Aurora,8.0,80045.0,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",4.0,"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",14,"$618,307.57","$100,231.86","$89,376.93",1003000480,Rothchild,Kevin,General Surgery,CO
60024.0,University Of Colorado Hospital Authority,12605 E 16th Ave,Aurora,8.0,80045.0,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",4.0,"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",14,"$618,307.57","$100,231.86","$89,376.93",1003000480,Rothchild,Kevin,General Surgery,CO
60024.0,University Of Colorado Hospital Authority,12605 E 16th Ave,Aurora,8.0,80045.0,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",4.0,"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",14,"$618,307.57","$100,231.86","$89,376.93",1003000480,Rothchild,Kevin,General Surgery,CO
60024.0,University Of Colorado Hospital Authority,12605 E 16th Ave,Aurora,8.0,80045.0,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",7.0,LUNG TRANSPLANT,21,"$768,112.62","$97,334.43","$88,777.10",1003000480,Rothchild,Kevin,General Surgery,CO
